id,rowid,entity,text
1700,5833,5,britons toppled a slavers statue a guerrilla artist replaced it with a black lives matter protester tco ooqttmcfq
411,1617,5,sen lindsey graham goes on fox news to explain the big difference between john lewis and blm protesters tco kfepsupu
630,2447,5,chicago sky guard sydney colson responds to atlanta dream coowner sen loeffler who voiced objections to the wnbas plans to honor the black lives matter movementits just a statement of fact that black lives matter tco nwttmhef
10130,32504,5,watch a group of boston nurses took a knee outside their hospital to show solidarity with protesters tco xbttghpe tco bpvgsqqaje
13550,40876,2,being silent or not intervening to me youre complicit minneapolispd chief told floyd georges family that the three other officers involved bear responsibility tco vmbdpoxp
1461,5012,0,american voters support for the black lives matter movement has increased in the last weeks almost as much as it had in years according to new data from an online survey research firm tco rtkchcw
253,345,1,thousands of peaceful protesters have gathered in london and across europe for the second consecutive weekend protesting the death of george floyd and systemic racism in the united states and around the world tco sqfybjbvxg
3369,10528,1,black lives do not matter in the united states of america the brother of george floyd calls for the un hrc to investigate police brutality in the usqatar a nation that currently enslaves migrant workers sits on the council tco dxrodqpl
4153,13857,1,black lives matter leader if this country doesnt give us what we want then we will burn down this system video tco nzpmohlf via gatewaypundit cristinalaila
245,337,5,health care workers around the country have held rallies and marches in solidarity with the black lives matter protests in response to the death of george floyd tco kzqeuflea
207,299,3,the dc council has passed an emergency bill to reform policing including measures that ban the use of tear gas and rubber bullets and prohibit the hiring of officers who were fired from another police department tco wmjgcbk
16992,49462,3,nobody is going to defund the police whipclyburn says officers have a role to play tco mmuhnout
681,2498,3,dc mayor bowser discusses why she had black lives matter painted on the street that leads to the white house the blm mural is a representation of an expression of our saying no but also identifying and claiming a part of our city that had been taken over by federal forces tco nlfmuxtre
1240,4255,5,fedex has fired an employee who pulled a sick knee pose in front of black lives matter protesters tco igmtrnlbtq
16609,48619,4,just in president trump signs executive order on police reform were united by our desire to ensure peace and dignity and equality for all americans tco vlyelbaq tco bhpimlg
8923,28457,1,map protests and rallies for george floyd spread across the us tco plohaziunf tco pdvnrgfcdx
71,163,0,a white man and a white woman who allegedly painted over a california communitys black lives matter mural are each facing a hate crime charge the contra costa county district attorneys office says tco bdnkmkyfh
1143,4158,5,since the call not much has changed onair talent continues to rant against the black lives matter mob and proclaim that america is under attack while a top writer for tucker carlsons show was ousted for his pseudonymous racist and sexist posts tco fpryhjbm
1948,6602,5,taco bell to let employees wear black lives matter face masks tco wagjehhjx
750,2848,0,the mccloskeys said they feared for their safety as one does to lay the groundwork to try to get away with violent conduct against people of color tco gjhhfvoja
14312,42601,0,tocradio new ag bill barr announces that doj will do its part to make sure racism is eliminated from law enforcement condemns v 
934,3291,1,heres whats behind global black lives matter protests tco wiowtteop
10953,34582,0,its been one week since george floyd died while in police custody heres whats happened since tco ftldudntxa
4905,16112,5,this traveling pianist showed up in minneapolis to spread a message of hope through music at george floyds memorial grieving residents came together to listen and play the piano themselves tco rrsfdrtd tco zkoccqobvv
350,1243,4,republican party rebukes las vegas mayor pro tem for racially charged comments about blm tco dbwuwlxqq
15480,45814,3,we need a seismic change to change that attitude into being a guardian establishing ways to do that as opposed to a warrior rep jackson lee says about police reform we need to be able to deal with the stain of racism in this country tco gtatpuysc
404,1610,0,yearold girl gets hit and knocked to the ground as men yelling all lives matter confront blm marchers tco blpveptp
16436,47996,1,protests across the us remained large but were more subdued wednesday night ahead of the first of multiple memorial services for george floyd tco smpnfncd
15898,46851,3,newark nj wants to be a model for police reform but black people are still stopped more often tco gapaxh nbcnewsthreads 
1910,6564,1,cbsthismorning in the wake of george floyds death the blacklivesmatter movement is highlighting police unions amp the role they play 
12221,38305,2,phoenix police to ban chokeholds in wake of george floyd protests tco kshhrmgl tco jptjudrjb
683,2500,1,activist hawk newsome says gov cuomos say their name agenda for police reform is a good first step but that its watered downit would be something that the moderate activists would promote we want real legislation tco bntctgqewx
13385,40711,4,davidmdrucker new realdonaldtrump is stumping for african american votes w promise to deliver racial equality through economic pros 
15418,45752,3,rep bass on police reform legislation people have been on the streets for almost days in a row and it would be shameful for us not to act tco hejolvu
1127,4142,0,richmond virginia leaders say white supremacists disguised themselves as black lives matter activists to start chaos at a protest on saturday but complicating that story is a more intricate entanglement of rival activist groups and police forces tco xxzryldow
8570,28104,3,new york city will paint and rename streets in the city to honor the black lives matter movement mayor de blasio says tco spytnzbmm
14412,42701,2,former disney star cole sprouse arrested during george floyd protests in california tco pppgqlfa
7066,22120,2,the fatal arrest of george floyd a black man kneed in the neck by police explained tco evrbsdyavn
914,3271,2,heres what many are really fighting over in the defund the police debate tco vedudldab
559,1765,0,shocking videos as minneapolis burns after authorities refuse to arrest george floyds killer blacklivesmatter tco qgstzkalc
661,2478,5,laverne cox what was so beautiful about the demonstrations that happened in brooklyn yesterday los angeles and all over the country is that the protests for black trans lives was in conjunction with the black lives matter protests tco zsbntrroo
1709,5842,1,black women in italy werent being heard then black lives matter protests began in the united states tco ujwhfre
5463,17460,0,a roundup of reforms aimed at fighting police brutality since george floyds death tco kjskpeui
2655,8306,4,pence says leaders of black lives matter movement have radical left agenda tco mzmxdpkrpl tco ajcgrhaah
11860,36650,0,usatodaylife resources ways to donate how you can take action from home after the death of george floyd tco dyawkfnus
14310,42599,3,democrat senators take a knee during moment of silence dedicated to george floyd tco ampckuhuv
3167,10326,0,district attorney who filed hate crime charges for painting over black lives matter mural was backed by billionaire george soros tco xcburwtt
1761,5894,5,japanese tennis player naomi osaka speaks out for black lives matter faces backlash tco lwsirgvk
1166,4181,0,a st louis missouri city attorney is investigating a white couple who pointed guns at black lives matter demonstrators who marched into the gated community past their house toward the home of mayor lyda krewson tco owbwuhrjg
707,2805,1,some people that think that just playing and seeing black lives matter on the floor is sufficient others think participating in protest and funding voter registration efforts or going on strike are appropriate tco avqijnrb
1558,5408,5,nbcblk new york city has closed down a stretch of th ave at trump tower to begin painting a large black lives matter mural 
4973,16180,1,george floyds story has been the story of black folks says rev al sharpton during his eulogythe reason we could never be who we wanted and dreamed of being is you kept your knee on our neck like george we couldnt breathe you wouldnt take your knee off our neck tco vkcozpwxz
13931,41688,2,chumley bold amp blunt george floyd is being used as puppet for left tco eructhdgjv mark geist markgeistswp is a trueblue american military and leo hero wounded in duty w some great wisdom on george floyd the state of the nation and the need to return to god
115,207,1,new research suggests black lives matter protests across the us have not led to a jump in coronavirus cases tco expjzcsho
980,3337,5, blackouttuesday raised important questions about allyship vs performativity on social media tco itkfslizx
3052,10211,1,between faucis lines yes the black lives matter protests likely spread the coronavirus tco pewsierv
9716,30952,3,rep val demings urged a nationwide review of police practices in the wake of the killing of george floyd whose death after he was detained by minneapolis police has sparked protests there for the past week tco gwhlbbieg
1837,6491,1,new jersey teen behind black lives matter rally receives bill for thousands of dollars for police overtime tco pasgvplx
250,342,2,police in maryland have arrested and charged the cyclist who was caught on video accosting three people posting flyers in support of the black lives matter movement tco wrpadsbb
917,3274,5,aunt jemima the redskins lady antebellum the dixie chicks fair amp lovely after this years black lives matter protests plenty of brands are finally ready to ditch names rooted in racist history but what does a name change really accomplish tco csayrpjnx
4109,13813,5,breaking from st louis mccloskeys have armed security team on balcony as blm and antifa threaten home on friday night tco krfrookg via gatewaypundit tco rjxvtggzm
1807,6190,2,de blasio announced last month that the city would paint black lives matter on streets at locations around the city the first such blocklong message was this one put on a street in brooklyn ap tco uslkrubamk
217,309,1,this isnt a new movement anyone who has been in america for long enough knows this isnt new but it is different sarasidnercnn says about protests sparked by the death of george floyd while on scene at his funeral tco rshymhmwt tco leospkidq
13887,41644,1,on todays front page podcast friends family and civil rights figures gather to memorialize george floyd former secretary of defense jim mattis and other former top military leaders criticize president trumps leadership and morelisten tco fkcrdrrc
3578,11572,1,from washtimesoped its worth examining the words that inspire their deeds editorial blm marxism tco tcucpkjsg
1382,4933,1,at the height of black lives matter protests in new york city the police were repeatedly filmed using force against peaceful protesterswe reviewed more than videos in many force did not appear warranted tco yyolgsdf
14620,43260,5,the national african american gun association naaga gained thousands of members following the may death of george floyd tco rsejosaia
1244,4259,0,apple and google have updated their voice assistants with new responses to the questions do black lives matter and do all lives matter tco kirlwad
2983,10142,5,burgessowens black lives matter inc is nothing but a marxist organizationthe country is at a crossroads with one side wanting to give power to the people while the other will empower themselves by stealing our education tco vghpnkykk
2890,8541,1,john boyega joins blm protest i dont know if im going to have a career after this but f that tco uzvcfaws tco fzpknxtscz
331,1224,5,fbi director wont rule out possibility of foreign interference in black lives matter protests tco ldwwmjfhe
19,111,0,a man has been convicted of six misdemeanor charges and sentenced to six years in prison for driving his car through a group of black lives matter protesters in june online court filings state tco uewcifh
224,316,5,a hennepin county judge is ordering the minneapolis police department to stop using all neck restraints and chokeholds when dealing with suspects tco ypyiflpt
12591,38675,5,save the bullshit nfl players kenny stills eric reid and more slam goodells statement on george floyd death tco cgzthcp tco hdwxvkgac
117,209,3,democratic sen kamala harris has called the senate gops policing bill weakthere is nothing salvageable about it she says adding she plans to vote to stop it tco zkgqmdewgb tco mgnytode
571,2182,3,barack obama addressed young leaders in the black lives matter movement during his demconvention speech you can give our democracy new meaning he said tco yhftwhaev
426,1632,4,trump tells fox news the blacklivesmatter sign on fifth avenue is like hes being prosecuted tco gwefiux
8764,28298,1,student newspaper in texas identifies a young black man who was critically injured in recent austin protests in an oped entitled his name is justin howell tco xcsjmtaqw
5711,17964,5,from george floyd to chris cooper a racism researcher explains the terror facing black people in america tco tvlbsykfdy
12605,38689,5,nfl commissioner roger goodell said that the killing of george floyd in minneapolis as well as other recent killings of african americans illustrated an urgent need for action tco ckykkxfstg
1367,4918,1,as of last week bakers against racism had raised almost million for black lives matter chapters and hundreds of other groups working for racial justice tco kgbmbpqkn
1242,4257,5,oprah winfrey says during town hall event all black people recognized that knee on the neck tco qkbmosxoh
2991,10150,0,leaked audio details goodyears zerotolerance policy on controversial political slogans but acceptance of black lives matter apparel tco wxqjtnxff
998,3608,1,letsgomathias a blm protester was shot while marching through rural pa last night police confirm the protesters who are marching 
1317,4715,5,health officials and experts in the san francisco bay area say that while covid cases are rising they see little indication at least so far that the black lives matter protests are the cause kqedscience tco kxyulizwr
6519,21046,0,the two men appeared to have had a history which could have serious implications for the case against derek chauvin tco pipfmybi
1724,5857,3,germanys only black member of parliament says the country needs to face its racism tco thsvruli
330,1223,1,hate crime charges filed against virginia klansman who drove his truck into blm marchers tco mzigfkk
8697,28231,5,nfl stars call on league to admit wrong in silencing our players from peacefully protesting tco oyuvjxht
685,2502,5,mitt romney joins a march protesting the death of george floyd we need to stand up and say that black lives matter tco pgltmguk
10606,34235,0,americas foreign adversaries have flooded social media with content meant to show division and discord in the wake of george floyds death according to us government intelligence bulletin obtained by abc news tco srumpdn
7633,24200,2,at the minneapolis nightclub where george floyd amp offduty cop derek chauvin both worked security the white policeman used overkill tactics to subdue rowdy customers especially on nights when the clientele were mostly black said the former owner tco vsaok
1624,5474,4,as president trump seizes on the slogan to paint his opponents as radicals who envision a world of lawlessness and anarchy joe biden and most other democrats are resisting the lefts calls and floating more modest measures to curtail bad police behavior tco rosfsur
474,1680,5,white evangelicals trying to rewrite racist past as support gains for black lives matter movement columnist tco ibbtjgqhad
647,2464,3,if chosen as joe bidens running mate rep demings says she would partner with black lives matter to create advisory boards on police misconduct and substandard housing education lending other areas where we frequently see discrimination and racism tco iecujfwfya
8046,26228,1,none of the people charged with serious federal crimes amid the unrest following the killing of george floyd have been linked so far to antifa despite claims by president trump tco zwlerfmak
5573,17826,1, breaking were dominating the streets with compassion trump defends handling of george floyd protests tco cafvikms
9082,28616,1,watch protesters reacting to the death of george floyd gather near the white house causing a temporary lockdown tco vzdtqfcov
