id,rowid,entity,text
113,205,2,as protests continue in the us the black lives matter movement is also spreading across the globe cnn heads to the uk australia and france to see how people are seeking to end systemic racism and police brutalitywatch go there on facebook //tco/eburrerry
1068,3678,2,participants in rome listened to speeches and held up placards saying black lives matter and its a white problem //tco/lhghokpd
1482,5332,1,watch portland mayor ted wheeler slams president trumps response to national protests amid a deadly shooting in portland that happened after trump supporters and black lives matter protesters clashed its you who have created the hate and division //tco/pfrjnsvwe
1669,5802,1,it can be a huge challenge to explain #blacklivesmatter to nonblack families of color especially for families who havent grown up in america this week the new normal with navigatingnikki tackles colorism the model minority myth and more //tco/yjqwtrxg
1022,3632,5,mark and patricia mccloskey threatened a group of black lives matter protesters with their weapons late last month //tco/jwhpyhcxx
1620,5470,2,nbclatino latino communities in northern new jersey rally together to fight for justice at black lives matter protest //tco/c…
1997,6651,2,dr kerry anne amp mr michael gordon decided to have a mini wedding in place of their original date during their first look protesters walking by gathered around them chanting black lives matter and their officiant reverend roxanne birchfield captured this powerful moment //tco/sgoaxun
226,318,2,kpops most popular group donated million in support of the black lives matter movement their fan base has more than matched that //tco/icdnupzx
1505,5355,2,wnba players wear vote warnock shirts on tuesday in opposition to atlanta dream coowner sen loeffler over her opposition to the black lives matter movement //tco/vjvqkto
191,283,2,businesses have an obligation to be supportive of black lives matter don peebles founder and chairman of the largest us blackowned real estate development company tells smerconish it means black ambition matters it means black access to economic opportunity matters //tco/yzvgprqhf
1086,3696,2,big bird and elmo will address the demonstrations and racial justice issues in a virtual cnn town hall this weekend //tco/mvnexrrqf
437,1643,1,there is no racism couple destroying black lives matter mural faces off against bystanders //tco/erpghvay
1347,4898,2,i have been educated by my children many young people after organizing online sharing resources and marching have kept conversations about racism and change going at home //tco/ljlxgjmu
1547,5397,0,statue of black lives matter protester that replaced toppled slave trader in bristol england has been removed after hours //tco/alozaich
1983,6637,1,minnesota state troopers admit strategically deflating tires during george floyd protests //tco/ivzpdnel
72,164,2,the players of the wnbas atlanta dream jointly signed a statement supporting the black lives matter movement which they assert is a statement of humanity team coowner sen kelly loeffler objected to the wnbas plans to honor the movement //tco/rkkkzylchq
1354,4905,0,a virginia man who prosecutors say admitted to being a member of the ku klux klan was sentenced to years in prison after driving through demonstrators at a black lives matter protest in june //tco/kvfylpa
45,137,2,the late rep john lewis motorcade stops at black lives matter plaza just steps from the white houselewis visited the mural which was painted in june and called it a powerful work of art //tco/xgcigvuj //tco/mqzucgzj
1402,4953,2,tu lucha es mi lucha several signs read at a recent black lives matter protest in arizona your struggle is my struggle many latinos are backing black lives matter protests while pushing for an acknowledgment of the systemic racism they face //tco/vyinmgbp
139,231,0,an officer involved in the fatal shooting of breonna taylor is in the process of being fired louisvilles mayor says //tco/vozzjdcs
1913,6567,1,white couple who pointed guns at st louis protesters claims angry mob threatened them //tco/ifykensn
920,3277,1,part of the power of black lives matter as a social movement is to say the individualfocused narrative that surrounds the us is a false narrative says drjonathanrosawhy the language we use when we talk about race matters so much //tco/jhdfrngxt
677,2494,5,the only language they seem to understand is protest outside their office and sometimes outside their front doorsdr melina abdullah cofounder of black lives matter los angeles on pushing city leaders to enact police reforms //tco/didndvlhd
1376,4927,0,tents popped up as a downtown square turned into a more permanent spot to gather but in late june after a protester was shot and killed there the louisville metro police department dismantled the camps and said that the park was to be closed nightly //tco/khurffj //tco/kelwekqyw
1503,5353,1,nbcout markdavid hutt founder of the lgbtrump facebook page was arrested twice in one weekend for vandalizing a black lives matter…
803,2901,2,americas pop stars spent the spring trying to write the song for our moment its a black lives matter anthem that may prevail //tco/xxwumxhaxg
708,2806,2,some people that think that just playing and seeing black lives matter on the floor is sufficient others think participating in protest and funding voter registration efforts—or going on strike—are appropriate //tco/fqteveycja
1460,5011,0,kevinq new in todays upshot we contextualize the large shift in voters attitudes about black lives matterin the span of a couple…
489,1695,1,watch tulsa cops hustle away black lives matter protester after trump rally staffer tells her shes uninvited //tco/jdgewgiso
1413,4964,2,a majority of american voters support demonstrations against police brutality and racial injustice embracing central tenets of the black lives matter movement a new national poll shows //tco/ifpdtljq
1244,4259,0,apple and google have updated their voice assistants with new responses to the questions do black lives matter and do all lives matter //tco/kirlwad
1807,6190,2,de blasio announced last month that the city would paint black lives matter on streets at locations around the city the first such blocklong message was this one put on a street in brooklyn 👇📷 ap⁣⁣ //tco/uslkrubamk
1653,5503,2,blackout tuesday was created initially to call on those in the music industry to take a beat for an honest reflective and productive conversation about racial inequality and the ways in which it has profited predominantly from black art //tco/cxwglfzjlu
1963,6617,2,artists unveil black lives matter street mural in new york city //tco/nuzjvphlh
103,195,1,on monday president trump went after attempts to strip the names of racists from buildingson tuesday it was a federal housing rule meant to combat racial segregationby wednesday trump was calling the words black lives matter a symbol of hate //tco/zstmwyjhp
1161,4176,1,tucker carlson calls black lives matter protests a pandemic minneapolis was our wuhan //tco/hsaorkvcue
230,322,2,jennifer lopez and alex rodriguez walked with protesters on sunday in los angeles as part of a black lives matter march //tco/zywomrwhc
301,1194,1,what did i do cops surround black lives matter activist on suspicion of using megaphone //tco/hwejakhqvd
892,3249,2,how george floyd and black lives matter changed the democratic party //tco/bwnbkjin
556,1762,1,watch protesters tackle man carrying semiautomatic rifle at texas black lives matter protest //tco/lsekoiir
1419,4970,5,nytmag if black lives are to matter in america the nation must pay its debts a new essay by nikole hannahjones //tco/ukuql…
955,3312,0,im a guy who happened at that point to just vote republican as far as im concerned id like to see the destruction of the twoparty systemwhy nathan a selfdescribed libertarianleaning republican is protesting with black lives matter //tco/jtopfxvthh
236,328,5,kpops most popular group donated million in support of the black lives matter movement their fan base has more than matched that //tco/zieesixmc
1405,4956,0,with images of americas racial strife rolling across the news some in japan have insisted that institutional racism is a faraway problem but japan has a longstanding history of discrimination against minorities //tco/mrvumccu
1876,6530,0,uk city removes statue of black lives matter protester that replaced monument to a slave trader //tco/nngxzwfekt
252,344,1,black lives matter protests arent just happening in big cities — people in small towns are also protesting with acts of solidarity //tco/yzxafqmaz //tco/pyqsbsnkhq
1176,4191,5,its not blatant inyourface racism that you would see in america the writer jordan anderson observes of racism in italy that doesnt mean its better just different //tco/wdlgaio
554,1760,5,deputy gets called out after sporting extremist symbols at black lives matter protest – and then gets put on leave //tco/uejjnmgt
177,269,0,patrick hutchinson the black man seen carrying an injured white man to safety during a chaotic scene at protests in london on saturday told cnn he did it to avoid catastrophe //tco/odfdjwm //tco/gkoukqhe
